F001,4,-31.12191358,9.374496163
F002,8,-1.903361901,-27.31517714
F003,7,-6.233118621,32.18845193
F004,7,31.57383588,-12.12053768
F005,6,-8.626912641,22.96061333
F006,7,-7.094287572,-23.88639136
F007,3,-20.31060499,-28.37465281
F008,10,27.62886608,14.99396216
F009,7,12.53962713,-31.86125062
F010,9,3.604232003,-7.699574487
F011,5,16.30860477,31.38607496
F012,1,13.00117927,-23.42628443
F013,7,-32.41519088,30.64962814
F014,5,-28.0405874,-33.59700551
F015,1,-33.23019159,6.883558402
F016,3,8.056104898,4.648852277
F017,1,11.06013726,-31.28477623
F018,4,-38.7586042,-19.04003061
F019,8,7.058313389,14.10257487
F020,3,-26.12814509,11.16025257
F021,4,-6.120032301,35.70954122
F022,3,-8.611314761,0.712508799
F023,1,32.25331612,-7.047144293
F024,10,8.528476764,-36.27387813
F025,3,6.584950185,0.990667463
F026,7,20.36103172,-30.50600396
F027,5,-24.59671635,34.98328675
F028,10,-36.49742038,-31.29032314
F029,3,-39.00326284,-29.52077453
F030,8,-1.64070141,-34.07575499
F031,3,27.71741389,29.3514389
F032,6,26.80065602,-9.782229438
F033,7,-26.74205724,-23.48756514
F034,9,-19.40932423,-19.86767319
F035,1,30.06018847,-12.51080485
F036,7,36.90744102,14.76639987
F037,9,33.59375619,0.119293707
F038,8,34.63296531,-28.93080734
F039,9,24.19498553,18.10279312
F040,5,27.20419866,10.12469877
F041,5,-27.08999223,-31.63711701
F042,8,-10.11538565,-38.48335682
F043,2,9.416147128,2.819290314
F044,6,23.06950622,33.67118434
F045,4,9.173857915,6.594748533
F046,7,39.89152311,5.323644902
F047,2,32.90762999,22.8116872
F048,3,28.57515074,26.32996427
F049,10,-31.01815958,-8.43095945
F050,2,-3.819349269,23.71798695
F051,3,35.26469202,34.29160161
F052,6,-5.271680665,30.10885643
F053,1,-18.98657003,29.83814829
F054,6,38.3492273,-6.214202168
F055,8,-33.84285221,6.833930525
F056,2,-18.07859803,-32.74401694
F057,9,-13.44466927,36.81857138
F058,8,2.561317684,1.013562333
F059,3,11.94201908,10.27462902
F060,3,-28.56901458,-21.84633176
F061,9,10.06893312,25.97103439
F062,1,-37.69480671,-30.26545544
F063,7,10.97675844,-34.17969333
F064,5,-23.38964801,-15.25111517
F065,7,-0.024738689,14.33213715
F066,9,29.76911327,-21.65833713
F067,2,25.25452845,29.33274378
F068,4,9.007886955,7.042989589
F069,6,-34.69105489,-32.00022706
F070,7,22.51376067,9.308897739
F071,6,6.125787434,29.11924369
F072,8,27.2646963,-20.33129506
F073,7,-5.680575859,-5.165151821
F074,9,39.49546811,32.76990431
F075,5,-2.186946522,2.884446411
F076,1,-5.803014705,19.2557449
F077,2,1.423317388,-23.99213262
F078,4,-10.59227363,-32.07125165
F079,4,37.31637289,-1.403527891
F080,2,18.20397761,3.274675474
F081,10,4.766548214,9.245838321
F082,5,-35.86224647,20.37501401
F083,10,29.65248573,7.613509502
F084,10,-37.96366514,7.441412638
F085,5,27.6871408,-19.01660155
F086,10,-23.74149636,-19.85666829
F087,9,-6.965826316,36.22822472
F088,10,21.21701673,-6.947913352
F089,3,32.47479257,-23.70208815
F090,6,-29.23295662,-27.27149216
F091,1,-12.87931229,12.39053478
F092,2,12.3021238,6.799952524
F093,5,8.568440364,-23.67509731
F094,7,-35.552369,11.03119607
F095,6,-31.38761504,10.34479264
F096,6,23.09053839,-10.46012368
F097,7,-26.43265105,-1.205911078
F098,9,11.01600525,15.26416613
F099,1,-6.419288699,-4.730413304
F100,9,29.44387202,-30.44733803
F101,6,29.87460577,14.89892764
F102,4,-21.81650089,15.89199203
F103,3,2.457723058,-13.42763334
F104,9,7.624644629,25.21024674
F105,7,25.82604706,26.84195722
F106,9,-26.73201987,-29.99144013
F107,2,34.20121897,-23.8463234
F108,7,-27.44378617,7.336959609
F109,3,-33.91033933,-1.318438106
